DATE,NASDAQ100,clean_val,change,change_pct,change_frac
2007-04-18,1832.39,1832.39,-2.519999999999982,-0.1373364361194817,-0.001373364361194817
2007-04-19,1832.47,1832.47,0.07999999999992724,0.004365882808786734,4.365882808786734e-05
2007-04-20,1845.89,1845.89,13.420000000000073,0.732344867855958,0.00732344867855958
2007-04-23,1850.18,1850.18,4.289999999999964,0.23240821500739284,0.0023240821500739284
2007-04-24,1858.87,1858.87,8.689999999999827,0.4696840307429454,0.004696840307429454
2007-04-25,1881.33,1881.33,22.460000000000036,1.2082609327171903,0.012082609327171902
2007-04-26,1889.57,1889.57,8.240000000000009,0.43798801911413787,0.004379880191141379
2007-04-27,1891.06,1891.06,1.490000000000009,0.07885391914562621,0.0007885391914562622
2007-04-30,1867.75,1867.75,-23.309999999999945,-1.2326420103010982,-0.012326420103010983
2007-05-01,1873.43,1873.43,5.680000000000064,0.30410922232633186,0.0030410922232633184
2007-05-02,1889.73,1889.73,16.299999999999955,0.8700618651350707,0.008700618651350706
2007-05-03,1895.64,1895.64,5.910000000000082,0.31274309028274316,0.003127430902827432
2007-05-04,1895.70,1895.7,0.05999999999994543,0.003165157941378396,3.165157941378396e-05
2007-05-07,1895.96,1895.96,0.2599999999999909,0.013715250303317555,0.00013715250303317556
2007-05-08,1899.83,1899.83,3.869999999999891,0.20411823034240653,0.0020411823034240653
2007-05-09,1905.65,1905.65,5.820000000000164,0.3063431991283517,0.0030634319912835168
2007-05-10,1875.20,1875.2,-30.450000000000045,-1.597879988455385,-0.01597879988455385
2007-05-11,1898.79,1898.79,23.589999999999918,1.2579991467576748,0.012579991467576747
2007-05-14,1888.08,1888.08,-10.710000000000036,-0.5640434171235384,-0.005640434171235384
2007-05-15,1871.79,1871.79,-16.289999999999964,-0.8627812380831302,-0.008627812380831303
2007-05-16,1891.57,1891.57,19.779999999999973,1.0567424764530196,0.010567424764530195
2007-05-17,1884.68,1884.68,-6.889999999999873,-0.3642476884281244,-0.0036424768842812437
2007-05-18,1896.93,1896.93,12.25,0.6499777150497696,0.006499777150497697
2007-05-21,1911.16,1911.16,14.230000000000018,0.7501594681933449,0.007501594681933449
2007-05-22,1916.45,1916.45,5.289999999999964,0.2767952447728062,0.002767952447728062
2007-05-23,1904.41,1904.41,-12.039999999999964,-0.6282449320357935,-0.0062824493203579345
2007-05-24,1874.60,1874.6,-29.810000000000173,-1.5653141917969435,-0.015653141917969435
2007-05-25,1889.25,1889.25,14.650000000000091,0.7815000533447185,0.007815000533447185
2007-05-28,.,1889.25,0.0,0.0,0.0
2007-05-29,1899.79,1899.79,10.539999999999964,0.5578933439195428,0.005578933439195428
2007-05-30,1918.08,1918.08,18.289999999999964,0.9627379868301214,0.009627379868301214
